	class_count	expression_avg	happy_avg	stu_count	tea_id	tags
403	24	211.2916667	0.049071201	13	11970380	[]
406	7	282.5714286	0.054110109	5	4619443	[]
407	10	275.9	0.09200514	6	30951991	[]
408	8	325.5	0.074404712	5	13984722	[]
410	13	218.3076923	0.040409423	7	9089803	[]
411	20	282.35	0.065194369	17	29760919	[]
413	24	190.9166667	0.085281629	14	13285708	[]
414	21	241.3333333	0.125958419	7	34335091	[]
415	15	246.4666667	0.104959677	6	33805157	[]
417	7	299	0.047233553	4	34544694	[]
419	12	223.9166667	0.129790675	6	21381740	[]
420	10	150.7	0.050056518	5	8201999	[]
421	7	262.8571429	0.125035648	4	29932086	[]
422	8	245.125	0.112475527	5	20836972	[]
425	13	231.6923077	0.051493128	8	31567167	[]
426	27	245.0740741	0.153785974	7	35979961	[]
427	21	213.4761905	0.070716745	14	29911272	[]
428	6	271	0.091344149	4	31204519	[]
429	13	185.3076923	0.038210916	4	29663631	[]
431	6	147.6666667	0.141076164	4	2549038	[]
434	8	198.875	0.044449565	7	7548763	[]
435	15	284.6666667	0.048042474	8	25306637	[]
438	11	312.9090909	0.089189595	7	30374024	[]
439	29	184.8275862	0.071209914	12	11063665	[]
440	27	329	0.092637935	11	34914515	[]
441	14	188.5714286	0.057834333	11	13355115	[]
444	6	231	0.146779451	5	31035034	[]
445	12	216.75	0.03407797	4	4815874	[]
446	21	192.7142857	0.09059471	9	12656698	[]
447	24	247.625	0.084618909	8	14666643	[]
448	12	219.6666667	0.128122637	5	8571797	[]
449	18	219.6666667	0.081135018	6	30647380	[]
458	8	204.375	0.112806646	5	34919174	[]
461	8	251	0.072216306	5	4058570	[]
464	10	269.5	0.150279797	7	31566533	[]
467	12	276.6666667	0.070297296	8	36841814	[]
468	12	282	0.071902155	7	25517238	[]
470	10	334.5	0.055455756	9	34418189	[]
472	16	317.625	0.051639842	6	11682645	[]
474	9	250.5555556	0.154715188	4	7253303	[]
475	18	276.4444444	0.076271436	12	37709553	[]
477	19	139.5263158	0.097371077	7	29222535	[]
478	13	305.3846154	0.086762802	7	26469486	[]
484	27	217.9259259	0.036666938	10	17534850	[]
488	9	228.7777778	0.088212176	8	17382830	[]
490	14	262.4285714	0.066553818	11	35511419	[]
495	9	289.3333333	0.131262082	4	8050143	[]
496	21	236.8571429	0.054898542	13	29074087	[]
497	20	157.9	0.05228567	7	37134920	[]
499	34	230.7941176	0.030904808	12	17819904	[]
501	11	322.5454545	0.055204673	5	29961559	[]
502	6	151.8333333	0.11429407	5	30165647	[]
504	31	300.1612903	0.065610456	16	37709507	[]
505	19	266.6842105	0.098728131	13	31614918	[]
508	36	267.25	0.042143426	15	34115158	[]
510	13	241.5384615	0.09594861	6	11338073	[]
512	9	119.6666667	0.05074475	5	29321998	['enhance_expression']
515	7	271	0.062689454	5	29656969	[]
516	12	279.6666667	0.147008285	8	27889840	[]
517	16	251.75	0.041396096	14	5311232	[]
521	29	206.5517241	0.114248011	15	31132805	[]
522	22	274.1363636	0.045237569	7	10978849	[]
523	9	291.8888889	0.062040089	7	27534606	[]
525	15	180	0.056292494	10	32052964	[]
526	36	324.8888889	0.062601641	13	15779585	[]
530	19	376.0526316	0.115427203	8	6419587	[]
534	19	253.7368421	0.056992153	13	30960932	[]
537	11	273.7272727	0.087868003	6	34188790	[]
539	13	142.3846154	0.033127461	7	16513904	[]
540	10	252.5	0.079049962	4	14367584	[]
541	13	215.4615385	0.027112114	8	9012756	[]
542	10	369.6	0.043868489	5	11616102	[]
